,country,lastpage,hr1,hr2,gender,expertise1,expertise2,expertise3,expertise4,finance1,CSfinance2[private_foundations],CSfinance2[donations],CSfinance2[national_public_funds],CSfinance2[corporate_sponsorship],CSfinance2[international_public_funds],CSfinance2[other],finance4,foi1,foi2,foi3,foi4,foi5[not_aware],foi5[not_covered],foi5[too_expensive],foi5[too_time_consuming],foi5[afraid_of_data_destruction],foi5[afraid_of_discrimination],foi5[other],foi5[dont_know],foi5[prefer_not_to_say],CSpreselection,CScampact2[media_contributions],CScampact2[own_publications],CScampact2[petitions_open_letters],CScampact2[public_events],CScampact2[collaborations],CScampact2[demonstrations],CScampact2[social_media],CScampact2[advertising],CScampact2[volunteer_activities],CScampact2[providing_technical_tools],CScampact2[support_for_eu_campaigns],CScampact2[other],CScamptrans1,CScamptrans2,CScampimpact1[increased_awareness],CScampimpact1[policies_reflect_demands],CScampimpact1[created_media_attention],CScampimpact1[achieved_goals],CSadvoctrans1,CSadvoctrans2,CSadvocact2[research],CSadvocact2[consultations],CSadvocact2[briefings],CSadvocact2[expert_events],CSadvocact2[participation_in_fora],CSadvocact2[legal_opinions],CSadvocact2[informal_encounters],CSadvocact2[other],CSadvocimpact1[increased_awareness],CSadvocimpact1[policies_reflect_recommendations],CSadvocimpact1[more_informed_debates],CSadvocimpact1[achieved_goals],CSlitigateact2[initiating_lawsuit],CSlitigateact2[initiating_complaint],CSlitigateact2[supporting_existing_legislation],CSlitigateact2[other],CSlitigatecost1,CSlitigatecost2,CSlitigatecost3,CSlitigatetrans1,CSlitigatetrans2,CSlitigateimpact1[increased_awareness],CSlitigateimpact1[changed_the_law],CSlitigateimpact1[amendments_of_the_law],CSlitigateimpact1[revealed_new_information],CSlitigateimpact1[achieved_goals],CSlitigateimpact2,protectops1[sectraining],protectops1[e2e],protectops2,protectops3[encrypted_email],protectops3[vpn],protectops3[tor],protectops3[e2e_chat],protectops3[encrypted_hardware],protectops3[2fa],protectops3[other],protectops4,protectleg1,protectleg2,protectleg3[free_counsel],protectleg3[cost_insurance],protectleg3[other],constraintinter1,constraintinter2,constraintinter3,constraintinter4[police_search],constraintinter4[seizure],constraintinter4[extortion],constraintinter4[violent_threat],constraintinter4[inspection_during_travel],constraintinter4[detention],constraintinter4[surveillance_signalling],constraintinter4[online_harassment],constraintinter4[entry_on_deny_lists],constraintinter4[exclusion_from_events],constraintinter4[public_defamation],constraintinter5[unsolicited_information],constraintinter5[invitations],constraintinter5[other],constraintinter6[gender],constraintinter6[ethnicity],constraintinter6[political],constraintinter6[sexual],constraintinter6[religious],constraintinter6[other],CSconstraintself1[avoid],CSconstraintself1[cancelled_campaign],CSconstraintself1[withdrew_litigation],CSconstraintself1[leave_profession],CSconstraintself1[other],attitude1,attitude2,attitude3[rule_of_law],attitude3[civil_liberties],attitude3[effectiveness_of_intel],attitude3[legitimacy_of_intel],attitude3[trust_in_intel],attitude3[critique_of_intel],attitude3[prefer_not_to_say],attitude4[1],attitude4[2],attitude4[3],attitude4[4],attitude4[5],attitude4[6],attitude5[1],attitude5[2],attitude5[3],attitude5[4],attitude5[5],attitude5[6],attitude6[1],attitude6[2],attitude6[3],attitude6[4],attitude6[5],attitude6[6],field,MShr3[daily_newspaper],MShr3[weekly_newspaper],MShr3[magazine],MShr3[tv],MShr3[radio],MShr3[news_agency],MShr3[online_stand_alone],MShr3[online_of_offline],MShr4,MSfinance2,MSapp1,MSapp2,MSsoc1,MSsoc2,MSsoc3,MSsoc4[follow_up_on_other_media],MSsoc4[statements_government],MSsoc4[oversight_reports],MSsoc4[leaks],MSsoc4[own_investigations],MSsoc4[dont_know],MSsoc4[prefer_not_to_say],MSsoc4[other],MSsoc5[national_security_risks],MSsoc5[intelligence_success],MSsoc5[intelligence_misconduct],MSsoc5[oversight_interventions],MSsoc5[oversight_failures],MSsoc5[policy_debates_leg_reforms],MSsoc5[other],MStrans1,MStrans2,MStrans3,MSimpact1[above_avg_comments],MSimpact1[above_avg_shares],MSimpact1[above_avg_readers],MSimpact1[letters_to_the_editor],MSimpact1[follow_up_by_other_media],MSimpact1[other],MSimpact1[none_of_the_above],MSimpact1[dont_know],MSimpact1[prefer_not_to_say],MSimpact2[diplomatic_pressure],MSimpact2[civic_action],MSimpact2[conversations_with_government],MSimpact2[official_inquiries],MSimpact2[government_statements],MSimpact2[conversations_with_intelligence],MSimpact2[dont_know],MSimpact2[prefer_not_to_say],MSimpact2[other],protectops3[secure_drop],MSprotectrta1,MSprotectrta2,MSprotectrta3,MSprotectrta4,MSprotectrta5,MSprotectrta6,MSconstraintcen1,MSconstraintcen2,MSconstraintcen3,MSconstraintcen4,MSconstraintcen5,MSconstraintself1[avoid],MSconstraintself1[change_focus],MSconstraintself1[change_timeline],MSconstraintself1[abandon],MSconstraintself1[leave_profession],MSconstraintself1[other]
10,United Kingdom,11.0,Full-time,,Not specified,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,Policy Advocacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,CSO Professionals,False,False,False,False,False,False,False,False,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,
11,United Kingdom,23.0,Full-time,2.0,Male,5.0,A3: Some knowledge,A2: Advanced knowledge,A3: Some knowledge,A3: Some funding,Important,Slightly important,Important,Not important at all,Important,,Rather beneficial for fundraising,Yes,15.0,"A2: No, usually longer than 30 days",A2: Helpful in parts,False,False,False,False,False,False,False,False,False,Public Campaigning,Very important,Very important,Very important,Somewhat important,Not important at all,Important,Important,Not important at all,Somewhat important,Not important at all,Somewhat important,,A4: Rarely (25% of the time),A3: Sometimes (50% of the time),Agree to a great extent,Agree to a great extent,Agree somewhat,Agree to a great extent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Slightly important,Very important,Slightly important,Very important,Slightly important,Very important,,"A2: Technological tools help to protect my identity <br>to some extent, but an attacker with sufficient power <br>may eventually be able to bypass my technological <br>safeguards",A4: Rarely,No,No,No,,"Yes, I suspect",No,,No,No,,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,"A2: Intelligence agencies contradict democratic<br>principles, and their powers should be kept at a<br>bare minimum",A4: Effective intelligence oversight is a<br>hopeless endeavour and even a systematic<br>reorganization is unlikely to ensure misconduct<br>is uncovered and prevented.,True,True,False,False,False,True,False,,,,,,,,,,,,,,,,,,,CSO Professionals,False,False,False,False,False,False,False,False,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,
12,United Kingdom,23.0,Freelance,5.0,Male,20.0,A3: Some knowledge,A3: Some knowledge,A3: Some knowledge,A3: Some funding,Very important,Slightly important,Important,Slightly important,Slightly important,I don't know,Rather constraining for fundraising,No,,,,False,True,False,False,False,False,False,False,False,Policy Advocacy,,,,,,,,,,,,,,,,,,,A4: Rarely (25% of the time),A4: Rarely (25% of the time),Very important,Somewhat important,Very important,Very important,Important,I don't know,Important,I don't know,Agree completely,Agree completely,Agree completely,Agree completely,,,,,,,,,,,,,,,,I prefer not to say,I prefer not to say,,I prefer not to say,I prefer not to say,I prefer not to say,I prefer not to say,I prefer not to say,I prefer not to say,I prefer not to say,A7: I prefer not to say,A7: I prefer not to say,I prefer not to say,I prefer not to say,I prefer not to say,I prefer not to say,I prefer not to say,No,,I prefer not to say,I prefer not to say,I prefer not to say,I prefer not to say,I prefer not to say,I prefer not to say,I prefer not to say,I prefer not to say,I prefer not to say,I prefer not to say,I prefer not to say,I prefer not to say,I prefer not to say,I prefer not to say,No,No,No,No,No,No,I don't know,I don't know,I don't know,I don't know,I don't know,"A3: Intelligence agencies are necessary and<br>legitimate institutions of democratic states,<br>even though they may sometimes overstep their<br>legal mandates","A2: Intelligence oversight is mostly effective,<br>however its institutional design needs reform<br>for oversight practitioners to reliably uncover<br>past misconduct and prevent future misconduct",True,False,True,True,False,False,False,Independent expert bodies,Judicial oversight bodies,CSOs | The media,Data protection authorities,Parliamentary oversight bodies,,CSOs | The media,,,,,,Judicial oversight bodies,Data protection authorities,Parliamentary oversight bodies,,,,CSO Professionals,False,False,False,False,False,False,False,False,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,
13,United Kingdom,22.0,Full-time,,Not specified,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,Public Campaigning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A2: Intelligence agencies contradict democratic<br>principles, and their powers should be kept at a<br>bare minimum",,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,CSO Professionals,False,False,False,False,False,False,False,False,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,
14,Germany,16.0,Part-time (>50%),4.0,Not specified,5.0,A2: Advanced knowledge,A1: Expert knowledge,A3: Some knowledge,A2: Sufficient funding,Not important at all,Very important,Not important at all,Not important at all,Not important at all,Not important at all,Rather constraining for fundraising,No,,,,False,False,False,True,False,False,True,False,False,Policy Advocacy,,,,,,,,,,,,,,,,,,,A3: Sometimes (50% of the time),A2: Often (75% of the time),Important,Important,Slightly important,Important,Not important at all,Slightly important,Somewhat important,Somewhat important,Agree somewhat,Agree sligthly,Agree somewhat,Not agree at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,CSO Professionals,False,False,False,False,False,False,False,False,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,
15,Germany,23.0,Full-time,1.0,Male,4.0,A4: Basic knowledge,A3: Some knowledge,A1: Expert knowledge,A5: No funding,Very important,Not important at all,Important,Slightly important,Slightly important,I don't know,Clearly beneficial for fundraising,No,,,,False,False,False,False,False,False,False,True,False,Policy Advocacy,,,,,,,,,,,,,,,,,,,A3: Sometimes (50% of the time),A2: Often (75% of the time),Very important,Very important,Very important,Somewhat important,Not important at all,I prefer not to say,Somewhat important,I prefer not to say,Agree completely,Agree somewhat,Agree to a great extent,Agree sligthly,,,,,,,,,,,,,,,,No,Yes,No,Slightly important,Slightly important,I prefer not to say,Very important,Somewhat important,Very important,Important,"A2: Technological tools help to protect my identity <br>to some extent, but an attacker with sufficient power <br>may eventually be able to bypass my technological <br>safeguards",A3: Sometimes,I don't know,I don't know,I don't know,I don't know,I prefer not to say,No,,No,No,No,No,I don't know,No,No,No,I don't know,I don't know,No,No,I don't know,I don't know,No,No,No,No,No,No,I don't know,I don't know,I don't know,I don't know,I don't know,"A3: Intelligence agencies are necessary and<br>legitimate institutions of democratic states,<br>even though they may sometimes overstep their<br>legal mandates","A3: Intelligence oversight lacks efficacy,<br>hence a fundamental reorganization of oversight<br>capacity is needed for oversight practitioners<br>to reliably uncover past misconduct and prevent<br>future misconduct",True,True,False,False,False,True,False,CSOs | The media,Independent expert bodies,Data protection authorities,Audit courts,,,Judicial oversight bodies,Parliamentary oversight bodies,Data protection authorities,,,,,,,,,,CSO Professionals,False,False,False,False,False,False,False,False,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,
16,Germany,17.0,Full-time,2.0,Not specified,7.0,A3: Some knowledge,A2: Advanced knowledge,A1: Expert knowledge,A5: No funding,Not important at all,Important,Not important at all,Not important at all,Not important at all,Not important at all,Clearly beneficial for fundraising,No,,,,False,False,False,False,False,False,False,False,True,Policy Advocacy,,,,,,,,,,,,,,,,,,,A3: Sometimes (50% of the time),A3: Sometimes (50% of the time),Important,Important,Important,Very important,Important,Very important,Important,,Agree completely,Not agree at all,Agree completely,Agree sligthly,,,,,,,,,,,,,,,,Yes,Yes,Yes,Very important,Very important,Very important,Very important,Very important,Very important,A7: I prefer not to say,"A2: Technological tools help to protect my identity <br>to some extent, but an attacker with sufficient power <br>may eventually be able to bypass my technological <br>safeguards",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,CSO Professionals,False,False,False,False,False,False,False,False,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,
17,Germany,23.0,Full-time,0.5,Male,40.0,A3: Some knowledge,A1: Expert knowledge,A4: Basic knowledge,A4: Little funding,Very important,Important,Not important at all,Not important at all,Not important at all,Not important at all,Rather beneficial for fundraising,Yes,5.0,"A1: Yes, within 30 days",A2: Helpful in parts,False,False,False,False,False,False,False,False,False,Strategic Litigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Important,Important,Important,,A5: Never or rarely,A1: Always or very often,A1: Not risky at all,A4: Rarely (25% of the time),A2: Often (75% of the time),Agree somewhat,Agree somewhat,Agree sligthly,Agree sligthly,Agree sligthly,,Yes,Yes,Yes,Important,Somewhat important,Slightly important,Somewhat important,Slightly important,,,"A3: Under the current conditions of communications <br>surveillance, technological solutions cannot offer <br>sufficient protection for the data I handle",A1: Always,No,,,Yes,"Yes, I suspect",No,,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,No,No,No,No,No,,No,No,No,No,,A1: Intelligence agencies are incompatible with<br>democratic values and should be abolished,A4: Effective intelligence oversight is a<br>hopeless endeavour and even a systematic<br>reorganization is unlikely to ensure misconduct<br>is uncovered and prevented.,False,False,False,False,False,False,True,CSOs | The media,Judicial oversight bodies,Independent expert bodies,Data protection authorities,Audit courts,Parliamentary oversight bodies,CSOs | The media,Independent expert bodies,Judicial oversight bodies,Data protection authorities,Audit courts,Parliamentary oversight bodies,Judicial oversight bodies,Data protection authorities,Audit courts,Independent expert bodies,Parliamentary oversight bodies,CSOs | The media,CSO Professionals,False,False,False,False,False,False,False,False,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,
18,Germany,3.0,Part-time (>50%),3.0,Not specified,10.0,A2: Advanced knowledge,A2: Advanced knowledge,A3: Some knowledge,A3: Some funding,Not important at all,Not important at all,Important,,Important,Not important at all,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,CSO Professionals,False,False,False,False,False,False,False,False,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,
19,Germany,23.0,Full-time,0.5,Male,10.0,A1: Expert knowledge,A1: Expert knowledge,A3: Some knowledge,A3: Some funding,Very important,Very important,Slightly important,Slightly important,Slightly important,Somewhat important,,No,,,,False,True,False,False,False,False,False,False,False,Strategic Litigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very important,Important,Important,,A5: Never or rarely,,A1: Not risky at all,A1: Always,,Agree completely,Agree to a great extent,Agree to a great extent,Agree completely,Agree completely,,,,,,,,,,,,,A5: Never,,,,,,No,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,No,No,No,No,No,No,No,No,No,No,,"A2: Intelligence agencies contradict democratic<br>principles, and their powers should be kept at a<br>bare minimum",A4: Effective intelligence oversight is a<br>hopeless endeavour and even a systematic<br>reorganization is unlikely to ensure misconduct<br>is uncovered and prevented.,True,True,False,False,True,False,False,,,,,,,,,,,,,,,,,,,CSO Professionals,False,False,False,False,False,False,False,False,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,
20,Germany,23.0,Full-time,3.0,Male,8.0,A3: Some knowledge,A2: Advanced knowledge,A4: Basic knowledge,A2: Sufficient funding,Not important at all,Very important,Not important at all,Not important at all,Not important at all,Not important at all,Rather beneficial for fundraising,Yes,5.0,"A2: No, usually longer than 30 days",A3: Not helpful at all,False,False,False,False,False,False,False,False,False,Strategic Litigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very important,Very important,Somewhat important,,A5: Never or rarely,A2: Often (75% of the time),A1: Not risky at all,A2: Often (75% of the time),A2: Often (75% of the time),Agree somewhat,Agree somewhat,Agree to a great extent,Agree completely,Agree somewhat,"In Folge der BVerfG-Klage gegen BND-Gesetz wurde neues BND-Gesetz verabschiedet.
In Folge der Bundesverwaltungagerichtklage gegen die Veras-Datenbank wurde diese Datenbank abgestellt.
Im Rahmen der Zivilklage in den USA gegen syrischen Geheimdienst wurde der Geheimdienst zu einer Entschädigungszahlung verurteilt, die allerdings (so lange das Assad-Regime herrscht) wohl nicht gezahlt werden wird.",Yes,Yes,Yes,Very important,Very important,Somewhat important,Very important,Important,Very important,,"A2: Technological tools help to protect my identity <br>to some extent, but an attacker with sufficient power <br>may eventually be able to bypass my technological <br>safeguards",A2: Often,I don't know,Yes,Yes,,"Yes, I have evidence",No,,No,No,I prefer not to say,I prefer not to say,Yes,No,Yes,I don't know,No,No,Yes,Yes,Yes,,No,No,No,No,No,,No,No,No,I don't know,,"A3: Intelligence agencies are necessary and<br>legitimate institutions of democratic states,<br>even though they may sometimes overstep their<br>legal mandates","A3: Intelligence oversight lacks efficacy,<br>hence a fundamental reorganization of oversight<br>capacity is needed for oversight practitioners<br>to reliably uncover past misconduct and prevent<br>future misconduct",True,False,False,True,True,False,False,CSOs | The media,Parliamentary oversight bodies,Data protection authorities,Judicial oversight bodies,Independent expert bodies,Audit courts,Judicial oversight bodies,CSOs | The media,Independent expert bodies,Parliamentary oversight bodies,Data protection authorities,Audit courts,Parliamentary oversight bodies,Independent expert bodies,Judicial oversight bodies,Data protection authorities,Audit courts,CSOs | The media,CSO Professionals,False,False,False,False,False,False,False,False,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,
21,Germany,23.0,Part-time (>50%),3.0,Female,5.0,A2: Advanced knowledge,A2: Advanced knowledge,A3: Some knowledge,A2: Sufficient funding,Not important at all,Very important,Not important at all,Not important at all,Not important at all,Not important at all,Rather constraining for fundraising,No,,,,False,False,False,False,False,False,True,False,False,Policy Advocacy,,,,,,,,,,,,,,,,,,,A2: Often (75% of the time),A4: Rarely (25% of the time),Important,Important,Slightly important,Important,Not important at all,Slightly important,Slightly important,,Agree to a great extent,Not agree at all,Agree somewhat,Agree sligthly,,,,,,,,,,,,,,,,Yes,Yes,No,Slightly important,I prefer not to say,I prefer not to say,Important,I prefer not to say,Somewhat important,,"A2: Technological tools help to protect my identity <br>to some extent, but an attacker with sufficient power <br>may eventually be able to bypass my technological <br>safeguards",A3: Sometimes,No,I don't know,I don't know,,"Yes, I have evidence",No,,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,No,No,Yes,No,No,No,Yes,A5: I prefer not to say,"A3: Intelligence oversight lacks efficacy,<br>hence a fundamental reorganization of oversight<br>capacity is needed for oversight practitioners<br>to reliably uncover past misconduct and prevent<br>future misconduct",True,True,False,False,False,True,False,CSOs | The media,Data protection authorities,Independent expert bodies,Parliamentary oversight bodies,Judicial oversight bodies,,Judicial oversight bodies,Data protection authorities,Audit courts,CSOs | The media,Independent expert bodies,Parliamentary oversight bodies,Judicial oversight bodies,Audit courts,Data protection authorities,Parliamentary oversight bodies,Independent expert bodies,CSOs | The media,CSO Professionals,False,False,False,False,False,False,False,False,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,
22,Germany,3.0,Part-time (>50%),1.0,Not specified,10.0,A4: Basic knowledge,A2: Advanced knowledge,A4: Basic knowledge,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,CSO Professionals,False,False,False,False,False,False,False,False,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,
23,Germany,23.0,Part-time (>50%),3.0,Male,6.0,A1: Expert knowledge,A2: Advanced knowledge,A3: Some knowledge,A4: Little funding,Not important at all,Very important,Not important at all,Not important at all,Not important at all,Not important at all,I don't know,No,,,,False,False,False,False,False,False,False,False,True,Public Campaigning,Somewhat important,Important,Somewhat important,Somewhat important,Slightly important,Somewhat important,Somewhat important,I prefer not to say,Slightly important,I prefer not to say,Somewhat important,,A4: Rarely (25% of the time),A4: Rarely (25% of the time),Agree somewhat,Agree sligthly,Agree to a great extent,Agree sligthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Important,Somewhat important,Somewhat important,Somewhat important,Important,Somewhat important,,"A2: Technological tools help to protect my identity <br>to some extent, but an attacker with sufficient power <br>may eventually be able to bypass my technological <br>safeguards",A3: Sometimes,No,Yes,No,I prefer not to say,"Yes, I suspect",No,,No,No,No,No,No,No,I prefer not to say,No,No,No,No,No,No,No,No,No,I don't know,No,No,,No,No,No,No,,A1: Intelligence agencies are incompatible with<br>democratic values and should be abolished,A4: Effective intelligence oversight is a<br>hopeless endeavour and even a systematic<br>reorganization is unlikely to ensure misconduct<br>is uncovered and prevented.,True,True,False,False,False,True,False,CSOs | The media,Independent expert bodies,,,,,Judicial oversight bodies,,,,,,Parliamentary oversight bodies,CSOs | The media,,,,,CSO Professionals,False,False,False,False,False,False,False,False,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,
24,Germany,23.0,Full-time,1.0,I prefer not to say,10.0,A1: Expert knowledge,A1: Expert knowledge,A2: Advanced knowledge,A2: Sufficient funding,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,I don't know,No effect on fundraising,No,,,,False,False,False,False,False,False,True,False,False,Policy Advocacy,,,,,,,,,,,,,,,,,,,A2: Often (75% of the time),A2: Often (75% of the time),Somewhat important,Very important,Very important,Important,Important,Somewhat important,Somewhat important,,Agree to a great extent,Agree sligthly,Agree sligthly,Agree sligthly,,,,,,,,,,,,,,,,No,Yes,Yes,Very important,Very important,Very important,Very important,Very important,Very important,Very important,"A2: Technological tools help to protect my identity <br>to some extent, but an attacker with sufficient power <br>may eventually be able to bypass my technological <br>safeguards",A2: Often,No,I don't know,I don't know,,"Yes, I suspect",No,,No,No,No,No,I don't know,No,I don't know,No,No,No,I don't know,I don't know,I don't know,I don't know,No,No,No,No,No,No,No,No,No,No,,A5: I prefer not to say,"A3: Intelligence oversight lacks efficacy,<br>hence a fundamental reorganization of oversight<br>capacity is needed for oversight practitioners<br>to reliably uncover past misconduct and prevent<br>future misconduct",True,False,True,True,False,False,False,Independent expert bodies,Data protection authorities,Parliamentary oversight bodies,Judicial oversight bodies,,,Judicial oversight bodies,Data protection authorities,,,,,Judicial oversight bodies,,,,,,CSO Professionals,False,False,False,False,False,False,False,False,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,
25,Germany,23.0,Part-time (>50%),2.0,Male,3.0,A1: Expert knowledge,A3: Some knowledge,A3: Some knowledge,A2: Sufficient funding,Very important,Very important,Not important at all,Not important at all,Not important at all,Important,Clearly beneficial for fundraising,No,,,,False,True,False,False,False,False,False,False,False,Strategic Litigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very important,I prefer not to say,Slightly important,I prefer not to say,A5: Never or rarely,A5: Never or rarely,A1: Not risky at all,A3: Sometimes (50% of the time),A3: Sometimes (50% of the time),Agree somewhat,Agree to a great extent,Agree completely,Agree to a great extent,Agree to a great extent,Neues Gesetz wurde erlassen,No,Yes,Yes,Very important,Very important,Slightly important,Very important,Very important,Important,Very important,A1: I have full confidence that the right tools <br>will protect my communication from surveillance,A4: Rarely,Yes,No,Yes,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,A5: I prefer not to say,"A3: Intelligence oversight lacks efficacy,<br>hence a fundamental reorganization of oversight<br>capacity is needed for oversight practitioners<br>to reliably uncover past misconduct and prevent<br>future misconduct",True,True,False,False,False,True,False,CSOs | The media,Independent expert bodies,Judicial oversight bodies,Data protection authorities,Parliamentary oversight bodies,Audit courts,Judicial oversight bodies,Parliamentary oversight bodies,Data protection authorities,CSOs | The media,Independent expert bodies,Audit courts,Parliamentary oversight bodies,Data protection authorities,CSOs | The media,Judicial oversight bodies,Independent expert bodies,Audit courts,CSO Professionals,False,False,False,False,False,False,False,False,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,
26,Germany,5.0,Full-time,3.0,Not specified,15.0,A2: Advanced knowledge,A1: Expert knowledge,A2: Advanced knowledge,A7: I prefer not to say,Not important at all,Not important at all,Not important at all,Not important at all,Not important at all,Not important at all,I prefer not to say,No,,,,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,CSO Professionals,False,False,False,False,False,False,False,False,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,
